idx,나이,관심 아이템,관심 아웃도어
1,,,
2,25.0,,
3,25.0,,
5,25.0,,"[1,0,0,0,0,0,0,0,0,0]"
6,25.0,,
7,37.0,,"[0,0,0,0,1,0,0,0,0,0]"
8,37.0,,
9,,,
10,,,
11,46.0,,"[0,0,0,0,1,0,0,0,0,0]"
12,,,"[1,0,0,0,0,0,0,0,0,0]"
13,,,
14,,,
16,,,"[0,0,0,0,1,0,0,0,0,0]"
17,,,"[0,0,0,0,0,0,0,0,0,1]"
18,,,
19,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
20,,,"[1,0,0,0,0,0,0,0,0,0]"
21,37.0,,
22,37.0,,
24,35.0,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
25,,,"[0,0,0,0,0,0,0,0,0,1]"
26,,,"[0,1,0,0,0,0,0,0,0,0]"
37,,,"[0,0,0,0,0,0,0,0,0,1]"
47,36.0,"[0,1,0]","[0,0,0,0,1,0,0,0,0,0]"
48,36.0,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
49,36.0,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
50,23.0,,"[1,0,0,0,0,0,0,0,0,0]"
51,,,
52,,,
53,,,
54,,,"[1,0,0,0,0,0,0,0,0,0]"
55,,,"[0,0,0,0,0,0,0,0,0,1]"
56,,,
57,,,"[0,0,0,0,0,0,0,0,0,1]"
58,,,
59,913.0,,"[0,1,0,0,0,0,0,0,0,0]"
60,,,
61,33.0,,"[1,0,0,0,0,0,0,0,0,0]"
62,24.0,,
63,,,"[0,0,0,0,0,0,0,0,0,1]"
64,,,"[0,0,0,0,0,0,0,0,0,1]"
65,,,
66,35.0,,"[0,0,0,0,0,0,0,0,0,1]"
67,,,"[0,0,0,0,1,0,0,0,0,0]"
68,,,
69,,,"[0,0,0,0,0,0,0,0,0,1]"
70,,,"[1,0,0,0,0,0,0,0,0,0]"
71,,,
72,29.0,,
74,42.0,,"[0,0,0,0,1,0,0,0,0,0]"
75,35.0,,"[0,0,0,0,0,0,0,0,0,1]"
87,,,
94,,,
95,,,"[0,0,0,0,1,0,0,0,0,0]"
96,42.0,,"[1,0,0,0,0,0,0,0,0,0]"
97,34.0,,
98,34.0,,
99,36.0,,
100,35.0,,"[0,1,0,0,0,0,0,0,0,0]"
101,39.0,"[0,1,0]","[0,0,0,0,1,0,0,0,0,0]"
102,36.0,,"[0,1,0,0,0,0,0,0,0,0]"
103,37.0,,"[0,0,0,0,0,0,0,0,0,1]"
104,31.0,,"[0,0,0,0,0,0,0,0,0,1]"
105,35.0,,"[0,0,0,0,1,0,0,0,0,0]"
106,42.0,,"[0,0,0,0,0,0,0,0,0,1]"
107,40.0,"[0,1,0]","[0,0,0,0,1,0,0,0,0,0]"
108,35.0,,"[0,0,0,0,0,0,0,0,0,1]"
109,39.0,,
110,25.0,,"[0,0,0,0,1,0,0,0,0,0]"
111,26.0,,
112,,,
114,38.0,,"[0,0,0,0,0,0,0,0,0,1]"
115,937.0,,"[0,0,0,0,0,0,0,0,0,1]"
116,34.0,,"[1,0,0,0,0,0,0,0,0,0]"
117,51.0,,
118,36.0,,
119,41.0,,"[0,1,0,0,0,0,0,0,0,0]"
120,48.0,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
121,42.0,,
122,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
123,35.0,,
124,47.0,,"[0,0,0,0,1,0,0,0,0,0]"
125,32.0,,"[0,0,0,0,0,0,0,0,0,1]"
126,35.0,,"[0,0,0,0,0,0,0,0,0,1]"
127,,,"[0,0,0,0,0,0,0,0,0,1]"
128,36.0,,
129,46.0,"[1,0,0]",
130,35.0,,
131,35.0,"[0,1,0]","[1,0,0,0,0,0,0,0,0,0]"
132,32.0,,"[1,0,0,0,0,0,0,0,0,0]"
133,37.0,,"[0,0,0,0,1,0,0,0,0,0]"
134,39.0,,"[0,0,0,0,0,0,0,0,0,1]"
135,36.0,,"[0,0,0,0,0,0,0,0,0,1]"
136,33.0,,
137,39.0,,
138,25.0,,
139,32.0,,"[0,0,0,0,1,0,0,0,0,0]"
140,34.0,"[0,0,1]","[0,0,0,0,1,0,0,0,0,0]"
141,,,"[0,0,0,0,0,0,0,0,0,1]"
142,45.0,,"[0,0,0,0,1,0,0,0,0,0]"
143,31.0,,
144,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
145,57.0,,
146,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
147,29.0,,"[0,0,0,0,0,0,0,0,0,1]"
149,35.0,,
150,40.0,,"[1,0,0,0,0,0,0,0,0,0]"
151,,,"[1,0,0,0,0,0,0,0,0,0]"
152,31.0,,
153,30.0,,"[0,0,0,0,0,0,0,0,0,1]"
154,37.0,,
155,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
156,38.0,,
157,,,
158,36.0,,"[1,0,0,0,0,0,0,0,0,0]"
159,34.0,,"[0,0,0,0,0,0,0,0,0,1]"
160,32.0,"[1,0,0]","[0,0,0,0,0,0,0,0,0,1]"
161,31.0,,"[1,0,0,0,0,0,0,0,0,0]"
162,39.0,,"[0,0,0,0,0,0,0,0,0,1]"
163,32.0,,
164,32.0,,"[0,0,0,0,0,0,0,0,0,1]"
165,35.0,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
166,35.0,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
167,32.0,,
168,34.0,,"[0,0,0,0,0,0,0,0,0,1]"
169,41.0,,
171,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
172,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
173,66.0,,"[0,0,0,0,0,0,0,0,0,1]"
174,32.0,,"[0,0,0,0,0,0,0,0,0,1]"
175,29.0,,"[0,0,0,0,0,0,0,0,0,1]"
176,25.0,,
177,55.0,,
178,36.0,,
179,37.0,,"[1,0,0,0,0,0,0,0,0,0]"
180,59.0,,"[0,0,0,0,1,0,0,0,0,0]"
181,41.0,,"[1,0,0,0,0,0,0,0,0,0]"
182,37.0,,
183,35.0,,"[0,0,0,0,1,0,0,0,0,0]"
184,38.0,,
185,41.0,,"[0,0,0,0,0,0,0,0,0,1]"
186,41.0,,"[0,0,0,0,0,0,0,0,0,1]"
187,41.0,,
188,32.0,,
189,41.0,,"[0,0,0,0,1,0,0,0,0,0]"
190,45.0,,
191,64.0,,"[0,0,0,0,0,0,0,0,0,1]"
192,38.0,,"[0,1,0,0,0,0,0,0,0,0]"
193,64.0,,"[0,0,0,0,1,0,0,0,0,0]"
194,35.0,,"[1,0,0,0,0,0,0,0,0,0]"
195,38.0,,"[1,0,0,0,0,0,0,0,0,0]"
196,34.0,,
197,26.0,,
198,45.0,,
199,37.0,,"[0,0,0,0,1,0,0,0,0,0]"
200,37.0,,"[0,0,0,0,1,0,0,0,0,0]"
201,,,
213,,,
214,35.0,,"[0,1,0,0,0,0,0,0,0,0]"
215,913.0,,
216,46.0,,"[0,0,1,0,0,0,0,0,0,0]"
217,31.0,,
218,32.0,,
219,24.0,,
