idx,나이,클릭 장소 목록,클릭 포스트 목록,클릭 영상 목록,상품목록1(결제화면),상품목록2(결제),상품목록3(장바구니),좋아요(상품),좋아요(스팟),북마크(상품),북마크(스팟),결제상품 목록,관심 아이템,관심 아웃도어
1,,,,,,,,,,,,,,
2,25,,,,,,,,,,,,,
3,25,,,,,,,,,,,,,
5,25,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
6,25,,,,,,,,,,,,,
7,37,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
8,37,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,46,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
12,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
17,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
18,,,,,,,,,,,,,,
19,35,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
20,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
21,37,,,,,,,,,,,,,
22,37,,,,,,,,,,,,,
24,35,,,,,,,,,,,,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
25,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
26,,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
37,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
47,36,,,,,,,,,,,,"[0,1,0]","[0,0,0,0,1,0,0,0,0,0]"
48,36,,,,,,,,,,,,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
49,36,,,,,,,,,,,,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
50,23,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
55,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
58,,,,,,,,,,,,,,
59,913,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
60,,,,,,,,,,,,,,
61,33,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
62,24,,,,,,,,,,,,,
63,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
64,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
65,,,,,,,,,,,,,,
66,35,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
67,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
70,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
71,,,,,,,,,,,,,,
72,29,,,,,,,,,,,,,
74,42,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
75,35,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
87,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
96,42,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
97,34,,,,,,,,,,,,,
98,34,,,,,,,,,,,,,
99,36,,,,,,,,,,,,,
100,35,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
101,39,,,,,,,,,,,,"[0,1,0]","[0,0,0,0,1,0,0,0,0,0]"
102,36,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
103,37,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
104,31,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
105,35,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
106,42,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
107,40,,,,,,,,,,,,"[0,1,0]","[0,0,0,0,1,0,0,0,0,0]"
108,35,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
109,39,,,,,,,,,,,,,
110,25,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
111,26,,,,,,,,,,,,,
112,,,,,,,,,,,,,,
114,38,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
115,937,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
116,34,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
117,51,,,,,,,,,,,,,
118,36,,,,,,,,,,,,,
119,41,,,,,,,,,,,,,"[0,1,0,0,0,0,0,0,0,0]"
120,48,,,,,,,,,,,,"[1,0,0]","[1,0,0,0,0,0,0,0,0,0]"
121,42,,,,,,,,,,,,,
122,41,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
123,35,,,,,,,,,,,,,
124,47,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
125,32,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
126,35,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
127,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
128,36,,,,,,,,,,,,,
129,46,,,,,,,,,,,,"[1,0,0]",
130,35,,,,,,,,,,,,,
131,35,,,,,,,,,,,,"[0,1,0]","[1,0,0,0,0,0,0,0,0,0]"
132,32,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
133,37,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
134,39,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
135,36,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
136,33,,,,,,,,,,,,,
137,39,,,,,,,,,,,,,
138,25,,,,,,,,,,,,,
139,32,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
140,34,,,,,,,,,,,,"[0,0,1]","[0,0,0,0,1,0,0,0,0,0]"
141,,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
142,45,,,,,,,,,,,,,"[0,0,0,0,1,0,0,0,0,0]"
143,31,,,,,,,,,,,,,
144,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
145,57,,,,,,,,,,,,,
146,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
147,29,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
149,35,,,,,,,,,,,,,
150,40,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
151,,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
152,31,,,,,,,,,,,,,
153,30,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
154,37,,,,,,,,,,,,,
155,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
156,38,,,,,,,,,,,,,
157,,,,,,,,,,,,,,
158,36,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
159,34,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
160,32,,,,,,,,,,,,"[1,0,0]","[0,0,0,0,0,0,0,0,0,1]"
161,31,,,,,,,,,,,,,"[1,0,0,0,0,0,0,0,0,0]"
162,39,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
163,32,,,,,,,,,,,,,
164,32,,,,,,,,,,,,,"[0,0,0,0,0,0,0,0,0,1]"
